track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0633057064572352,0.04833147296522281,-0.0314222398743728,0.15803365278884318,0.1902554996478364,-0.0017956358305486475,0.9984880175282422,0.330953224561013,0.025915772853252306,3463.4633229081423,0.5514184820301699,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-6.523121070123417e-06,9.96282161165797e-06,-2.6049892613370334e-05,1.3003650473123499e-05,0.5126310788548232,-0.0017956358305486475,0.00043223465046227094,0.330953224561013,0.025915772853252306,3463.4633229081423,0.7757514556121661,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.09157497961453229,0.030200011630742853,-0.15076591474347903,-0.03238404448558555,0.002427115967368102,-0.0017956358305486475,-0.006060578495665547,0.330953224561013,0.025915772853252306,3463.4633229081423,0.02593980190124659,0.3786300909094239,1,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0054618584483886005,0.012077199930553917,-0.01820901844958672,0.02913273534636392,0.6510921851720148,-0.0073325372813568546,0.9984880175282422,0.330953224561013,0.00183888940411292,3463.4633229081423,0.8371185237925904,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-2.1226348286486925e-06,7.676953598492226e-06,-1.7169187392678622e-05,1.2923917735381238e-05,0.782168345260821,-0.0073325372813568546,0.00043223465046227094,0.330953224561013,0.00183888940411292,3463.4633229081423,0.891671913597336,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.020200017993553646,0.02677942151584673,-0.07268671969143026,0.03228668370432297,0.45066236937277526,-0.0073325372813568546,-0.006060578495665547,0.330953224561013,0.00183888940411292,3463.4633229081423,0.7669468544683505,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.04718025981978636,0.03207118494018527,-0.11003862724407287,0.015678107604500148,0.14126121137754075,-0.0024464395369989678,0.9984880175282422,0.330953224561013,0.013886800569135715,3463.4633229081423,0.503243065532489,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.499421509008873e-05,1.762689427123835e-05,-9.553862840833838e-06,5.95422930210113e-05,0.1562027068754313,-0.0024464395369989678,0.00043223465046227094,0.330953224561013,0.013886800569135715,3463.4633229081423,0.5136665937634376,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.1248741475551332,0.05168286938952183,-0.2261707101762836,-0.023577584933982793,0.015685112390791824,-0.0024464395369989678,-0.006060578495665547,0.330953224561013,0.013886800569135715,3463.4633229081423,0.1277216294678763,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.010303542396739971,0.04532483694430548,-0.0991385904127292,0.07853150561924925,0.8201697680636479,-0.0018262383534208837,0.9984880175282422,0.330953224561013,0.0018777012060096077,3463.4633229081423,0.9107079892135312,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.513840902815335e-05,1.7631588611467656e-05,-4.969568769685654e-05,1.9418869640549835e-05,0.39056352169491904,-0.0018262383534208837,0.00043223465046227094,0.330953224561013,0.0018777012060096077,3463.4633229081423,0.7504085641554062,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lasso_cv_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.05413940970094166,0.050477022440134134,-0.044793736328541355,0.15307255573042466,0.28347058510089296,-0.0018262383534208837,-0.006060578495665547,0.330953224561013,0.0018777012060096077,3463.4633229081423,0.6603538529474119,1.0,0,0
