track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,permutation_id,source_path
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0230001657320361,0.0625571024746427,-0.099609502095445,0.1456098335595174,0.7131217460186037,-0.0822607658318865,-0.3545076973437584,-0.3809830696300887,0.0280414289220113,3506.469998895388,0.8883727860376526,1.0,0,0,1,
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0003314143524835,0.0011437160743813,-0.0019102279618433,0.0025730566668103,0.7719923703437104,-0.163471738177352,-0.3391022492707074,-0.4131214296215169,0.0062198747441026,3518.9806278078927,0.8883727860376526,1.0,0,0,1,
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-2.309397796640062e-05,1.6091893301817428e-05,-5.463350928102412e-05,8.445553348222872e-06,0.1512497174210487,-0.163471738177352,-0.5020048940468924,-0.4131214296215169,0.0062198747441026,3518.9806278078927,0.6806237283947195,1.0,0,0,1,
track1_per_cell,main,share_class_Distrust,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0424738878500074,0.0546881735735207,-0.0647129627343683,0.1496607384343831,0.4373618637474633,-0.163471738177352,-0.3982571455469508,-0.4131214296215169,0.0062198747441026,3518.9806278078927,0.8747237274949267,1.0,0,0,1,
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0042110109185121,0.0017723091768991,0.0007373487623199,0.0076846730747043,0.0175013473539306,-0.1334730874740886,-0.3391022492707074,-0.4131214296215169,0.0211333116673949,3518.9806278078927,0.1050080841235836,0.2800215576628896,0,0,1,
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.910609624573729e-06,2.0794726220583656e-05,-4.2667524085288415e-05,3.884630483614096e-05,0.9267937571487196,-0.1334730874740886,-0.5020048940468924,-0.4131214296215169,0.0211333116673949,3518.9806278078927,0.9267937571487196,1.0,0,0,1,
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0138321222471613,0.063182198208352,-0.1100027107052797,0.1376669551996024,0.8267089709144485,-0.1334730874740886,-0.3982571455469508,-0.4131214296215169,0.0211333116673949,3518.9806278078927,0.8883727860376526,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,7.856493778595873e-05,0.0002438282038739,-0.0003993295602221,0.000556459435794,0.7472903402303483,-0.2839488229017715,-0.383244168827821,-0.3791091760116492,0.0015740899311829,3453.803344541224,0.8070735674487762,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,3.3501610523871143e-06,3.666420160569538e-06,-3.835890414520743e-06,1.0536212519294972e-05,0.3608525780533254,-0.2839488229017715,-0.391863156926822,-0.3791091760116492,0.0015740899311829,3453.803344541224,0.7494630467261374,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0036563308466592,0.0112856544459745,-0.0257758071027337,0.0184631454094151,0.7459528728150625,-0.2839488229017715,-0.3622202022803045,-0.3791091760116492,0.0015740899311829,3453.803344541224,0.8070735674487762,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0006039213355175,0.00033552245127,-5.369058497623922e-05,0.0012615332560113,0.0718696164087079,0.0484741873761971,-0.383244168827821,-0.3791091760116492,0.0085359640611876,3453.803344541224,0.5007313471973195,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-7.913467659134513e-06,5.746905535603459e-06,-1.917719553147116e-05,3.3502602132021346e-06,0.1685133917724981,0.0484741873761971,-0.391863156926822,-0.3791091760116492,0.0085359640611876,3453.803344541224,0.6499802254082071,1.0,0,0,1,
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0142540208746632,0.0149811540244198,-0.0151085014600469,0.0436165432093733,0.3413691511741952,0.0484741873761971,-0.3622202022803045,-0.3791091760116492,0.0085359640611876,3453.803344541224,0.7494630467261374,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0013069270884722,0.0007117962572132,-8.816793999605224e-05,0.0027020221169405,0.0663432878267282,-0.1201956831322941,-0.383244168827821,-0.3791091760116492,0.0095423383142363,3453.803344541224,0.5007313471973195,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.2886372158444376e-05,8.350313286340132e-06,-2.925268545929733e-05,3.479941142408584e-06,0.1227773572323882,-0.1201956831322941,-0.391863156926822,-0.3791091760116492,0.0095423383142363,3453.803344541224,0.6499802254082071,1.0,0,0,1,
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0043415990219673,0.0274884754921846,-0.0582180209765611,0.0495348229326264,0.8745020943848311,-0.1201956831322941,-0.3622202022803045,-0.3791091760116492,0.0095423383142363,3453.803344541224,0.8955726467932172,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0003848070381175,0.0003010978981638,-0.0009749480743394,0.0002053339981043,0.2012448308623732,-0.3343189049598218,-0.3235660689381465,-0.3809830696300887,0.004677157450874,3506.469998895388,0.6792013041605096,1.0,0,0,1,
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,5.507183538725367e-07,4.195751466797048e-06,-7.672803409130781e-06,8.774240116875857e-06,0.8955726467932172,-0.3343189049598218,-0.4648754426083612,-0.3809830696300887,0.004677157450874,3506.469998895388,0.8955726467932172,1.0,0,0,1,
