track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,rows_before_trim,rows_after_trim
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-2.971529454593661e-05,1.7160900869512297e-05,-6.335004219244281e-05,3.919453100569584e-06,0.0833502197425775,-0.1228507437698389,-0.2405140006075348,0.1615373491724552,0.0088518183320485,3480.051411068506,0.3000607910732793,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,8.285812669071138e-06,1.56941391581108e-05,0.5975299754925918,-3.800110721500775e-05,1.0934592013378106,0.0,633,562
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0711902878583146,0.0534494779235563,-0.0335687638643244,0.1759493395809537,0.1828873437831238,-0.1228507437698389,-0.2713847383885273,0.1615373491724552,0.0088518183320485,3480.051411068506,0.4293876767082039,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0070785900976072,0.0487799819515521,0.8846219687944282,0.0782688779559218,1.0957256601005287,0.0,633,562
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.039733496151725,0.0279355389542245,-0.0150191540872707,0.0944861463907208,0.1549310862532301,-0.2320777887747718,0.9965107865134278,0.1615373491724552,0.0315096999130868,3480.051411068506,0.3822189179163678,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031284882575399,0.0197906318287667,0.8743943502788857,0.0428619844092649,1.4115536682168357,0.0,633,562
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,3.21228222389939e-05,1.3462931236744678e-05,5.735961888635042e-06,5.850968258935276e-05,0.0170318280531227,-0.2320777887747718,-0.2405140006075348,0.1615373491724552,0.0315096999130868,3480.051411068506,0.1149648393585786,0.8004959184967695,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,8.182497072158581e-06,1.3864496889825272e-05,0.5550724789966297,2.394032516683532e-05,0.971036406421982,1.0,633,562
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0449820956897805,0.0387601359478871,-0.0309863748039545,0.1209505661835157,0.2458352375556968,-0.2320777887747718,-0.2713847383885273,0.1615373491724552,0.0315096999130868,3480.051411068506,0.4577621664830216,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0499472426934639,0.0365381210290995,0.1716284688956186,-0.004965147003683397,1.0608136066169893,1.0,633,562
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0036949642619867,0.0151484261449622,-0.0333853339285777,0.0259954054046041,0.8072948162572899,-0.2645337136205063,0.9965107865134278,0.1615373491724552,0.0212946679112301,3480.051411068506,0.9476939147368186,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031162268478123,0.0202327263837868,0.8775946546262361,-0.0005787374141743998,0.7487090893049969,1.0,633,562
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-2.20179201808704e-05,8.938597935481465e-06,-3.953725020669816e-05,-4.498590155042646e-06,0.0137687364137911,-0.2645337136205063,-0.2405140006075348,0.1615373491724552,0.0212946679112301,3480.051411068506,0.1062159666206742,0.6608993478619732,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-2.7535413545628397e-06,8.298788650904033e-06,0.7400399857994315,-1.926437882630756e-05,1.0770967079041993,1.0,633,562
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,562,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.1035271927785895,0.0331464859613637,0.038561274080254,0.168493111476925,0.0017882118735971,-0.2645337136205063,-0.2713847383885273,0.1615373491724552,0.0212946679112301,3480.051411068506,0.0193126882348486,0.089410593679855,1,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0787849288709242,0.0286944576499595,0.0060391209343314,0.024742263907665304,1.1551528997590406,1.0,633,562
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0499770969844449,0.0392273545178623,-0.1268612990482397,0.0269071050793498,0.2026503405745693,-0.2014345650208273,0.9968345128228652,0.1713451282634994,0.018805351793209,3466.1881406458265,0.455963266292781,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0045917883270428,0.0186738858950087,0.8057646273075423,-0.0453853086574021,2.1006530048653285,1.0,633,562
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,561,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,1.143247863297452e-05,1.3616822841738092e-05,-1.5256003720694496e-05,3.812096098664354e-05,0.401141177215346,-0.2014345650208273,-0.2170881573270542,0.1713451282634994,0.018805351793209,3466.1881406458265,0.5883230066693954,1.0,0,0,robustness/causal_robustness_v2/r4/track1_per_cell/track1_per_cell_estimates_v1.csv,4.462950457171904e-06,1.1614279268799605e-05,0.7007827204959143,6.969528175802616e-06,1.1724208215242495,1.0,633,562
