track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.021866979584492137,0.013439846951730387,-0.004474636398629852,0.04820859556761413,0.10373158920925371,-0.19954971710443337,0.9953726226642758,0.12341675365354954,0.007906199788305646,3516.4704689559767,0.3981333929805332,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.5067865577462436e-05,9.638063757733419e-06,-3.395812342332071e-05,3.8223922683958426e-06,0.11796544977200983,-0.19954971710443337,-0.2946511788403072,0.12341675365354954,0.007906199788305646,3516.4704689559767,0.3981333929805332,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.016410097134334972,0.029210325601394777,-0.07366128328975703,0.04084108902108709,0.5742584456441947,-0.19954971710443337,-0.33047118286332,0.12341675365354954,0.007906199788305646,3516.4704689559767,0.7325897562733682,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.006830722357356024,0.012128045793001748,-0.03060125531449197,0.016939810599779923,0.5732870838669591,-0.3163039718318734,0.9953726226642758,0.12341675365354954,0.005372565924049777,3516.4704689559767,0.7325897562733682,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,3.224815817851896e-06,8.716483468134644e-06,-1.385917785153079e-05,2.0308809487234584e-05,0.711406687348809,-0.3163039718318734,-0.2946511788403072,0.12341675365354954,0.005372565924049777,3516.4704689559767,0.8003325232674101,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.045771481071280644,0.02917826454521784,-0.10295982871128959,0.011416866568728298,0.11672155397563361,-0.3163039718318734,-0.33047118286332,0.12341675365354954,0.005372565924049777,3516.4704689559767,0.3981333929805332,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.01283061673280328,0.02103513325999336,-0.05405872033239088,0.028397486866784324,0.5418874595093037,-0.11922730503257029,0.9953726226642758,0.12341675365354954,0.006693333994564288,3516.4704689559767,0.7325897562733682,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.2410030306905823e-05,1.7046017366487184e-05,-1.099954981125336e-05,5.5819610425065e-05,0.18861801936826617,-0.11922730503257029,-0.2946511788403072,0.12341675365354954,0.006693333994564288,3516.4704689559767,0.4850177640898273,1.0,0,0
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.09851778664082776,0.05380020963118676,-0.20396425987865874,0.006928686597003228,0.06707390616374707,-0.11922730503257029,-0.33047118286332,0.12341675365354954,0.006693333994564288,3516.4704689559767,0.38618094814732457,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.013806864601434052,0.02518117939832967,-0.03554734010753409,0.06316106931040219,0.5834852747845263,-0.11787440137194416,0.9953726226642758,0.12341675365354954,0.0016016142127498467,3516.4704689559767,0.7325897562733682,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-9.453568848850036e-06,1.7002670816598793e-05,-4.27781912903739e-05,2.3871053592673826e-05,0.5782074824747983,-0.11787440137194416,-0.2946511788403072,0.12341675365354954,0.0016016142127498467,3516.4704689559767,0.7325897562733682,1.0,0,0
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0037862149197232463,0.052795569740950066,-0.10726363015525806,0.09969120031581155,0.9428290105213628,-0.11787440137194416,-0.33047118286332,0.12341675365354954,0.0016016142127498467,3516.4704689559767,0.9606182371349734,1.0,0,0
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.010464439784721951,0.015452106990055224,-0.01982113340104591,0.04075001297048981,0.4982678625774072,-0.23657363263945408,0.9953726226642758,0.12341675365354954,0.010997602506406579,3516.4704689559767,0.7080648573468418,1.0,0,0
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,1.1918294463847396e-05,1.2973778704974749e-05,-1.3509844541295813e-05,3.7346433468990605e-05,0.3582813862199896,-0.23657363263945408,-0.2946511788403072,0.12341675365354954,0.010997602506406579,3516.4704689559767,0.5909238060861578,1.0,0,0
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.06005645458158474,0.040101792158545695,-0.018541613764675578,0.13865452292784505,0.13423713776637203,-0.23657363263945408,-0.33047118286332,0.12341675365354954,0.010997602506406579,3516.4704689559767,0.40686964646310914,1.0,0,0
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.013025654664865166,0.012994336049927491,-0.03849408532573352,0.012442775996003188,0.3161455302064641,-0.2294936776781109,0.9953726226642758,0.12341675365354954,0.025013990327129032,3516.4704689559767,0.5909238060861578,1.0,0,0
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.226980510795628e-05,8.222133476973638e-06,-2.83848905989057e-05,3.845280382993141e-06,0.13562321548770304,-0.2294936776781109,-0.2946511788403072,0.12341675365354954,0.025013990327129032,3516.4704689559767,0.40686964646310914,1.0,0,0
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,570,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.10326985622368624,0.03359445093408743,0.03742594231247691,0.1691137701348956,0.002111985997268814,-0.2294936776781109,-0.33047118286332,0.12341675365354954,0.025013990327129032,3516.4704689559767,0.03801574795083865,0.10982327185797831,1,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.00941393419965494,0.019860732849922805,-0.029512386892765304,0.04834025529207518,0.6355018163477837,-0.10801434859717585,0.9934586491576167,0.1466077939733311,0.005721113440183556,3430.9652907470027,0.7626021796173403,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,5.51018803496179e-06,1.3065326920307035e-05,-2.0097382175081618e-05,3.1117758245005195e-05,0.6732138514295274,-0.10801434859717585,-0.2196483563541165,0.1466077939733311,0.005721113440183556,3430.9652907470027,0.7864960703886842,1.0,0,0
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0598483477481292,0.033392283925108145,-0.12529602160287695,0.005599326106618556,0.07308800493080748,-0.10801434859717585,-0.33398691088350696,0.1466077939733311,0.005721113440183556,3430.9652907470027,0.38618094814732457,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.002697594677739371,0.00940860516526811,-0.021138121946422388,0.01574293259094365,0.7743300264744299,-0.33484037140598377,0.9934586491576167,0.1466077939733311,0.006784930293968872,3430.9652907470027,0.8419611970539682,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-4.1873024118105556e-06,1.0306651927176925e-05,-2.4387968990267665e-05,1.6013364166646556e-05,0.68454287607904,-0.33484037140598377,-0.2196483563541165,0.1466077939733311,0.006784930293968872,3430.9652907470027,0.7864960703886842,1.0,0,0
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0432735480491015,0.04143480241928886,-0.12448426849744076,0.037937172399237766,0.2963110741643302,-0.33484037140598377,-0.33398691088350696,0.1466077939733311,0.006784930293968872,3430.9652907470027,0.5909238060861578,1.0,0,0
