check_id,check_variant,weight_status,outcome,treatment,estimate,std_error,p_value,estimate_delta_vs_reference,same_sign_as_reference,aggregation_variant,t_statistic,partial_r2,rv_q,rv_qa,empirical_p_value,excluded_facility,sample_variant
R1,baseline_default,ipw,share_joint_Rupture_discomposed,age_at_first_exposure,0.0523939834662066,0.0299276679538304,0.0799998155205095,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,share_joint_Rupture_discomposed,age_at_first_exposure,0.0526549225175022,0.0518768976259501,0.3101070089276303,0.0002609390512956,1.0,,,,,,,,
R1,random_forest_regressor,ipw,share_joint_Rupture_discomposed,age_at_first_exposure,0.0208568313466013,0.0376831455068487,0.5799354264664414,-0.0315371521196053,1.0,,,,,,,,
R1,baseline_default,ipw,share_joint_Rupture_discomposed,severity_index_v2,0.0419107897877182,0.0695224236455494,0.5466161683000083,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,share_joint_Rupture_discomposed,severity_index_v2,0.0639384470102339,0.0715747495534835,0.3716911282488325,0.0220276572225157,1.0,,,,,,,,
R1,random_forest_regressor,ipw,share_joint_Rupture_discomposed,severity_index_v2,0.022114625070039,0.0681998584258594,0.7457396576973454,-0.0197961647176792,1.0,,,,,,,,
R1,baseline_default,ipw,share_joint_Rupture_discomposed,total_days_incarcerated,-2.394460016101076e-06,2.139989320708673e-05,0.9109096635992462,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,ipw,share_joint_Rupture_discomposed,total_days_incarcerated,-2.1234143943294296e-05,2.230539731136765e-05,0.3411104944467541,-1.883968392719322e-05,1.0,,,,,,,,
R1,random_forest_regressor,ipw,share_joint_Rupture_discomposed,total_days_incarcerated,-1.223990741329445e-05,2.053147873375877e-05,0.5510728652077517,-9.845447397193374e-06,1.0,,,,,,,,
R1,baseline_default,rake,authority_stance,age_at_first_exposure,-0.0011101584151008,0.0058302830603696,0.84898595141046,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,authority_stance,age_at_first_exposure,-0.0170758917017009,0.0125796947410078,0.1746487444414343,-0.0159657332866001,1.0,,,,,,,,
R1,random_forest_regressor,rake,authority_stance,age_at_first_exposure,-0.0033172829433862,0.0031793672091525,0.2967730920913592,-0.0022071245282853,1.0,,,,,,,,
R1,baseline_default,rake,authority_stance,severity_index_v2,0.0381464220914733,0.0141664685094011,0.0070870425235017,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,authority_stance,severity_index_v2,0.0540771447090717,0.0117383870365769,4.087885003952744e-06,0.0159307226175983,1.0,,,,,,,,
R1,random_forest_regressor,rake,authority_stance,severity_index_v2,0.0466881950992756,0.0135812263914955,0.0005866751927679,0.0085417730078023,1.0,,,,,,,,
R1,baseline_default,rake,authority_stance,total_days_incarcerated,9.132077143229242e-06,4.999587109126483e-06,0.0677650097594357,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,authority_stance,total_days_incarcerated,6.11494166308074e-06,5.063719966295607e-06,0.2272016584035577,-3.017135480148502e-06,1.0,,,,,,,,
R1,random_forest_regressor,rake,authority_stance,total_days_incarcerated,5.3200033050307815e-06,4.760755630032198e-06,0.2637932661545177,-3.81207383819846e-06,1.0,,,,,,,,
R1,baseline_default,rake,belonging_stance,age_at_first_exposure,0.0176289479380256,0.0109283297271488,0.1067136556026035,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,belonging_stance,age_at_first_exposure,-0.0082368409231848,0.0185858739637139,0.6576373611924552,-0.0258657888612104,0.0,,,,,,,,
R1,random_forest_regressor,rake,belonging_stance,age_at_first_exposure,-0.0018890847682876,0.0130885763183456,0.8852392533754047,-0.0195180327063132,0.0,,,,,,,,
R1,baseline_default,rake,belonging_stance,severity_index_v2,0.0315280919248631,0.0188547757235551,0.0944939243044099,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,belonging_stance,severity_index_v2,0.0657434034414761,0.0202281453313022,0.0011536627317396,0.034215311516613,1.0,,,,,,,,
R1,random_forest_regressor,rake,belonging_stance,severity_index_v2,0.0275246894506804,0.0190887123069623,0.1493206068436915,-0.0040034024741826,1.0,,,,,,,,
R1,baseline_default,rake,belonging_stance,total_days_incarcerated,1.8015140322706813e-07,6.33167611387444e-06,0.9773013291983884,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,belonging_stance,total_days_incarcerated,6.781740956098475e-06,6.175660071688373e-06,0.2721432476729007,6.601589552871407e-06,1.0,,,,,,,,
R1,random_forest_regressor,rake,belonging_stance,total_days_incarcerated,5.795353347821848e-06,5.579516254327181e-06,0.2989518009414393,5.61520194459478e-06,1.0,,,,,,,,
R1,baseline_default,rake,how_multimodal_score_mean,age_at_first_exposure,0.0028213885704086,0.0178591256327713,0.8744723862779221,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,how_multimodal_score_mean,age_at_first_exposure,0.01822857203638,0.0360105855597858,0.6127159894071103,0.0154071834659714,1.0,,,,,,,,
R1,random_forest_regressor,rake,how_multimodal_score_mean,age_at_first_exposure,0.0146342659240881,0.0232307397384651,0.5287255680059775,0.0118128773536795,1.0,,,,,,,,
R1,baseline_default,rake,how_multimodal_score_mean,severity_index_v2,0.0554466491286924,0.0386606174999549,0.1515182114595639,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,how_multimodal_score_mean,severity_index_v2,0.0642949775260005,0.0403353106748079,0.1109333011864319,0.008848328397308,1.0,,,,,,,,
R1,random_forest_regressor,rake,how_multimodal_score_mean,severity_index_v2,0.042465482755946,0.0397980827464218,0.2859613013294221,-0.0129811663727463,1.0,,,,,,,,
R1,baseline_default,rake,how_multimodal_score_mean,total_days_incarcerated,-1.189004417768675e-05,1.2355950209389966e-05,0.3359024530730623,0.0,1.0,,,,,,,,
R1,lasso_cv_regressor,rake,how_multimodal_score_mean,total_days_incarcerated,-2.1474177944259288e-05,1.2049606485493072e-05,0.0747251562284806,-9.584133766572538e-06,1.0,,,,,,,,
