track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,7.758635281287128e-05,0.0002920653520616541,-0.000494851218359982,0.0006500239239857246,0.790510904957836,-0.2839488229017715,-0.31900752647289576,-0.23383571891811003,0.013169595625861952,3408.948818566898,0.8209151705331375,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,9.058238802635315e-06,3.960456639901433e-06,1.2958864260959877e-06,1.6820591179174643e-05,0.02218588482316616,-0.2839488229017715,-0.19604002364753437,-0.23383571891811003,0.013169595625861952,3408.948818566898,0.28777238255205945,0.5768330054023202,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.029181289429277366,0.01099321884197441,-0.050727602433714325,-0.007634976424840404,0.007943053654174139,-0.2839488229017715,-0.18645960663389993,-0.23383571891811003,0.013169595625861952,3408.948818566898,0.21446244866270175,0.21446244866270175,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0003360223522020344,0.0003892665283765727,-0.0010989707282070557,0.00042692602380298703,0.3880169436730728,0.04847418737619713,-0.31900752647289576,-0.23383571891811003,0.005265726353057554,3408.948818566898,0.45549815126838983,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,7.657815416439636e-06,4.695116106422758e-06,-1.5444430553828979e-06,1.6860073888262172e-05,0.10288667719757667,0.04847418737619713,-0.19604002364753437,-0.23383571891811003,0.005265726353057554,3408.948818566898,0.34131791565209174,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.019633501838658633,0.014967971319592108,-0.04897018654668763,0.009703182869370365,0.1896210642511621,0.04847418737619713,-0.18645960663389993,-0.23383571891811003,0.005265726353057554,3408.948818566898,0.34131791565209174,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-7.015408678453613e-07,0.0006726089417693125,-0.0013189908424152963,0.0013175877606796055,0.9991677949979912,-0.12019568313229412,-0.31900752647289576,-0.23383571891811003,0.00953892145316948,3408.948818566898,0.9991677949979912,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.5771305980221888e-05,1.0821671386761363e-05,-3.6981392150801785e-05,5.438780190358005e-06,0.14501104220478295,-0.12019568313229412,-0.19604002364753437,-0.23383571891811003,0.00953892145316948,3408.948818566898,0.34131791565209174,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.029480374307689343,0.030079304609311342,-0.08843472802194921,0.02947397940657053,0.3270425374644931,-0.12019568313229412,-0.18645960663389993,-0.23383571891811003,0.00953892145316948,3408.948818566898,0.42048326245434825,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0005640309518132021,0.0003217078015081548,-0.001194566656314746,6.650475268834177e-05,0.07956083785595026,-0.33431890495982186,-0.38075121822599356,-0.3143066891316488,0.013732788107209903,3358.6167056804,0.34131791565209174,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,6.546069705598376e-06,4.2445504355200595e-06,-1.773096278584741e-06,1.4865235689781493e-05,0.1230179019420681,-0.33431890495982186,-0.3219762881224866,-0.3143066891316488,0.013732788107209903,3358.6167056804,0.34131791565209174,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.021002993088732297,0.01600216669685937,-0.052366663489182945,0.010360677311718351,0.1893483401371321,-0.33431890495982186,-0.24019256104646614,-0.3143066891316488,0.013732788107209903,3358.6167056804,0.34131791565209174,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.00033477609595430587,0.0005175740275065984,-0.001349202549200582,0.0006796503572919703,0.5177498680616346,0.09319078528082247,-0.38075121822599356,-0.3143066891316488,0.010832642910741042,3358.6167056804,0.582468601569339,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,1.1804302819161164e-05,5.984489716758163e-06,7.491850846485647e-08,2.353368712985747e-05,0.04855452197894714,0.09319078528082247,-0.3219762881224866,-0.3143066891316488,0.010832642910741042,3358.6167056804,0.28777238255205945,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.02277707797752497,0.021303023635408886,-0.06453023706473192,0.018976081109681978,0.2849819884485696,0.09319078528082247,-0.24019256104646614,-0.3143066891316488,0.010832642910741042,3358.6167056804,0.42048326245434825,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0016431160021095595,0.0008502303829742658,-2.3304927081698552e-05,0.003309536931300818,0.053291181954085075,-0.17630782238296727,-0.38075121822599356,-0.3143066891316488,0.023202389654686906,3358.6167056804,0.28777238255205945,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.6019623235114e-05,1.6212429019195237e-05,-4.77954002146487e-05,1.57561537444207e-05,0.3230999870840118,-0.17630782238296727,-0.3219762881224866,-0.3143066891316488,0.023202389654686906,3358.6167056804,0.42048326245434825,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.05255761794632367,0.03743397734546504,-0.12592686534152345,0.0208116294488761,0.16031635373257147,-0.17630782238296727,-0.24019256104646614,-0.3143066891316488,0.023202389654686906,3358.6167056804,0.34131791565209174,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,rake,rake_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0003840889408743179,0.0003211116406258109,-0.0010134561915174762,0.0002452783097688404,0.23164865820243818,-0.3464896241871518,-0.3833912443729339,-0.3014068501475156,0.012667123579388595,3344.9008273888085,0.39090711071661444,1.0,0,0
