track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0004097461388921429,0.00028913807757976307,-0.00015695407972334083,0.0009764463575076266,0.15644502904260985,-0.2839488229017715,-0.38418925393307,-0.3642810663366982,0.010912489394056757,3561.689865789651,0.4620515196688986,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,4.378100887500754e-06,3.6265425875287594e-06,-2.729791972456311e-06,1.148599374745782e-05,0.22734040793583377,-0.2839488229017715,-0.3972948621842953,-0.3642810663366982,0.010912489394056757,3561.689865789651,0.4620515196688986,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.024256332899240573,0.010211196969290641,-0.044269911198094786,-0.0042427546003863635,0.017526892243862537,-0.2839488229017715,-0.3113590828927293,-0.3642810663366982,0.010912489394056757,3561.689865789651,0.23661304529214425,0.45569919834042594,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.00039469782148326195,0.0003818519351276186,-0.0003537182187937957,0.0011431138617603196,0.30130401800982254,0.04847418737619713,-0.38418925393307,-0.3642810663366982,0.010779617677240783,3561.689865789651,0.4620515196688986,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,6.256919923606941e-06,4.351544703865988e-06,-2.2719509730864096e-06,1.4785790820300292e-05,0.1504732687699795,0.04847418737619713,-0.3972948621842953,-0.3642810663366982,0.010779617677240783,3561.689865789651,0.4620515196688986,1.0,0,0
track2,main,belonging_stance,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.03568278600517598,0.014571055682234747,-0.06424153035908378,-0.007124041651268169,0.01433006582713759,0.04847418737619713,-0.3113590828927293,-0.3642810663366982,0.010779617677240783,3561.689865789651,0.23661304529214425,0.3869117773327149,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0009867759072659278,0.0006796881287928358,-0.0023189401604193074,0.000345388345887452,0.14655530807100256,-0.12019568313229412,-0.38418925393307,-0.3642810663366982,0.011000916070395772,3561.689865789651,0.4620515196688986,1.0,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.039326810503468e-05,9.526180126105322e-06,1.7222981476270176e-06,3.906423806244234e-05,0.03229337399522211,-0.12019568313229412,-0.3972948621842953,-0.3642810663366982,0.011000916070395772,3561.689865789651,0.2494804664370938,0.8073343498805529,0,0
track2,main,how_multimodal_score_mean,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.022645087759176424,0.02621852135602697,-0.07403244534488354,0.0287422698265307,0.3877495518788021,-0.12019568313229412,-0.3113590828927293,-0.3642810663366982,0.011000916070395772,3561.689865789651,0.5234618950363829,1.0,0,0
track2,main,authority_stance,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,632,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.00013229293346575483,0.0003549293407320135,-0.0005633557914255368,0.0008279416583570464,0.7093491538068317,-0.33431890495982186,-0.3757177515390455,-0.40951507753792527,0.006808442309763962,3474.456878627192,0.7894962431646092,1.0,0,0
