track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,estimation_unit,analysis_rows,analysis_narrators
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,2.358725348381904e-05,2.468502499728474e-05,-2.479450646833e-05,7.196901343596808e-05,0.3393103242733567,-0.2361419000990603,-0.3321083735021124,-0.0804886625040963,0.1050822809945506,4265.018964247611,0.5310944206017758,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,8.182497072158581e-06,1.3864496889825272e-05,0.5550724789966297,1.540475641166046e-05,1.7804486663630992,1.0,interview,37,31
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,-0.0746933913272157,0.1068516618663243,-0.2841188002734633,0.1347320176190319,0.4845281702568611,-0.2361419000990603,-0.6100270462452515,-0.0804886625040963,0.1050822809945506,4265.018964247611,0.6708851588171924,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0499472426934639,0.0365381210290995,0.1716284688956186,-0.1246406340206796,2.9243885251030304,0.0,interview,37,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,0.0018359736774108,0.0022019589714691,-0.0024797866021035,0.0061517339569252,0.4043987410198153,-0.2265006211100058,0.7005346292132834,-0.0588267407160964,0.2495180719581717,5653.762335880067,0.5823341870685341,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0045917883270428,0.0186738858950087,0.8057646273075423,0.006427762004453601,0.11791648422022631,0.0,interview,37,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-7.510080486869268e-06,1.2017185875239942e-05,-3.1063331997863e-05,1.6043171024124464e-05,0.5320071422202163,-0.2265006211100058,-0.3813594560320019,-0.0588267407160964,0.2495180719581717,5653.762335880067,0.7093428562936217,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,4.462950457171904e-06,1.1614279268799605e-05,0.7007827204959143,-1.1973030944041172e-05,1.0346906249725456,0.0,interview,37,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,0.1389571049095924,0.058310873917902,0.0246698921234485,0.2532443176957363,0.0171703605729394,-0.2265006211100058,-0.4956553953295708,-0.0588267407160964,0.2495180719581717,5653.762335880067,0.0873381201082122,0.5151108171881842,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0444382620060267,0.0316267833781405,0.1599965390637986,0.18339536691561908,1.8437181303175068,0.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,0.0316490292553098,0.0081204524131443,0.0157332349873755,0.0475648235232442,9.721226820035684e-05,-0.45675377937166,0.7005346292132834,-0.0588267407160964,0.3909057627104627,5653.762335880067,0.0034996416552128,0.0034996416552128,1,1,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.051829075330831,0.0285360283690474,0.0693292706226815,0.0834781045861408,0.2845684167440916,0.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-6.2292186133848e-06,4.104415741513709e-05,-8.66742889228461e-05,7.42158516960765e-05,0.8793693660514601,-0.45675377937166,-0.3813594560320019,-0.0588267407160964,0.3909057627104627,5653.762335880067,0.8946769459482848,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,1.902454963531123e-05,2.416290569102073e-05,0.4310797726377837,-2.525376824869603e-05,1.6986432815648356,0.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,0.0462756392140297,0.1584865561164858,-0.2643523028080687,0.3569035812361282,0.7702983719558683,-0.45675377937166,-0.4956553953295708,-0.0588267407160964,0.3909057627104627,5653.762335880067,0.894540044851976,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.1543894330774073,0.0679081771576081,0.0229958956639596,0.20066507229143699,2.333836111498831,0.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,-0.0095296756877598,0.0057867063950858,-0.0208714118112356,0.0018120604357159,0.0995946277428074,-0.6949735969553086,0.7005346292132834,-0.0588267407160964,0.4446821937780363,5653.762335880067,0.2561004713386476,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0523939834662066,0.0299276679538304,0.0799998155205095,-0.0619236591539664,0.1933564086588032,0.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-8.945097191415715e-05,3.2502647946341324e-05,-0.0001531549912911,-2.5746952537143407e-05,0.0059212018821068,-0.6949735969553086,-0.3813594560320019,-0.0588267407160964,0.4446821937780363,5653.762335880067,0.053290816938962,0.1953996621095275,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,-2.394460016101076e-06,2.139989320708673e-05,0.9109096635992462,-8.705651189805608e-05,1.5188229040123358,1.0,interview,37,31
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,-0.0223505893569075,0.1368453429864806,-0.2905625330624406,0.2458613543486254,0.8702606886032567,-0.6949735969553086,-0.4956553953295708,-0.0588267407160964,0.4446821937780363,5653.762335880067,0.8946769459482848,1.0,0,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0419107897877182,0.0695224236455494,0.5466161683000083,-0.06426137914462571,1.968362663594237,0.0,interview,37,31
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_interview_v1,37,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,-0.022845205269955,0.0076879597060023,-0.0379133294083147,-0.0077770811315952,0.0029629452204448,-0.9323117888701388,0.7005346292132834,-0.0588267407160964,0.3899437566002449,5653.762335880067,0.0355553426453383,0.1007401374951251,1,0,robustness/causal_robustness_v2/r12/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0016314485149317,0.02219093088568,0.941393359431192,-0.0244766537848867,0.3464460209266574,0.0,interview,37,31
