track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,excluded_facility,remaining_rows
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.2444397108841873e-05,1.7034153575437855e-05,-4.583072462382426e-05,2.0941930406140517e-05,0.4650506107811891,-0.1430431256514843,-0.239755956829974,0.1579341294638223,0.0016259921623276,3462.669032416893,0.8659563097304901,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,8.285812669071138e-06,1.56941391581108e-05,0.5975299754925918,-2.073020977791301e-05,1.0853831104609857,0.0,minidoka,569
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0337607108060797,0.0563064824086365,-0.076597966810986,0.1441193884231455,0.5487806140860884,-0.1430431256514843,-0.2813239057346928,0.1579341294638223,0.0016259921623276,3462.669032416893,0.8826094912807283,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0070785900976072,0.0487799819515521,0.8846219687944282,0.040839300903686905,1.1542948594068703,0.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0030636046223913,0.0160298676935961,-0.0344815679787818,0.0283543587339991,0.848432736598986,-0.2648945704274399,0.994882250956134,0.1579341294638223,0.0111759415726256,3462.669032416893,0.9163073555269048,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031284882575399,0.0197906318287667,0.8743943502788857,6.48836351485999e-05,0.8099725078153323,1.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,1.962011284386477e-05,1.4866992843539426e-05,-9.518657687887228e-06,4.875888337561678e-05,0.1869320011285145,-0.2648945704274399,-0.239755956829974,0.1579341294638223,0.0111759415726256,3462.669032416893,0.6729552040626522,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,8.182497072158581e-06,1.3864496889825272e-05,0.5550724789966297,1.143761577170619e-05,1.0723066954163951,1.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0459403556313576,0.0393610265173001,-0.0312058387370767,0.1230865499997919,0.24314842902446,-0.2648945704274399,-0.2813239057346928,0.1579341294638223,0.0111759415726256,3462.669032416893,0.7723538333718141,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0499472426934639,0.0365381210290995,0.1716284688956186,-0.0040068870621063,1.077259185986942,1.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,0.0029292674179894,0.0119060224227553,-0.0204061077297372,0.0262646425657161,0.8056571420908744,-0.2756325632183625,0.994882250956134,0.1579341294638223,0.0258072395007018,3462.669032416893,0.9163073555269048,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0031162268478123,0.0202327263837868,0.8775946546262361,0.0060454942658017,0.5884536862168025,0.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-1.0390692003321325e-05,8.611122830354423e-06,-2.72681826172666e-05,6.486798610623958e-06,0.2275633543911142,-0.2756325632183625,-0.239755956829974,0.1579341294638223,0.0258072395007018,3462.669032416893,0.7680263210700105,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-2.7535413545628397e-06,8.298788650904033e-06,0.7400399857994315,-7.637150648758484e-06,1.037636116858617,1.0,minidoka,569
track1_per_cell,main,share_joint_Distrust_discomposed,joint_continuous,Joint continuous treatments,H3,unweighted,,569,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.1102200787755758,0.0321382267834724,0.0472303117529893,0.1732098457981623,0.0006045536985329,-0.2756325632183625,-0.2813239057346928,0.1579341294638223,0.0258072395007018,3462.669032416893,0.0216388229277813,0.03264589972078,1,1,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0787849288709242,0.0286944576499595,0.0060391209343314,0.0314351499046516,1.1200151323828125,1.0,minidoka,569
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,568,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0370443500764545,0.0178733671696761,-0.0720755060114802,-0.0020131941414287,0.0382094726861831,-0.1718294334084604,0.9940724579826454,0.1514963926817472,0.017635966662861,3554.5602907493662,0.3438852541756481,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0045917883270428,0.0186738858950087,0.8057646273075423,-0.0324525617494117,0.9571316473800149,1.0,minidoka,569
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,568,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,2.706529583528582e-06,1.2731647704722044e-05,-2.224704138157867e-05,2.7660100548635837e-05,0.8316523721276342,-0.1718294334084604,-0.2742605905520472,0.1514963926817472,0.017635966662861,3554.5602907493662,0.9163073555269048,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,4.462950457171904e-06,1.1614279268799605e-05,0.7007827204959143,-1.756420873643322e-06,1.096206437787674,1.0,minidoka,569
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,568,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-0.0330100327641941,0.0355496983800431,-0.1026861612503406,0.0366660957219524,0.353117089133742,-0.1718294334084604,-0.2653226893853566,0.1514963926817472,0.017635966662861,3554.5602907493662,0.8114241201554154,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0444382620060267,0.0316267833781405,0.1599965390637986,0.0114282292418326,1.1240377484804227,1.0,minidoka,569
track1_per_cell,main,share_joint_Injury_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,568,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0027430365583831,0.0170002912933546,-0.0360629952200481,0.0305769221032819,0.8718159122106192,-0.196245498858165,0.9940724579826454,0.1514963926817472,0.001530078774191,3554.5602907493662,0.923099201164185,1.0,0,0,robustness/causal_robustness_v2/r15/minidoka/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0113852391630578,0.0171383394007478,0.5064893489119162,0.0086422026046747,0.9919450709800287,1.0,minidoka,569
