narrator_id,ilr_what_1,ilr_what_2,alr_how,P_auth,P_shame,P_dist,P_comp,P_decomp,ilr_what_1_std,ilr_what_2_std,alr_how_std,n_segments
1,-0.08577665022843735,0.16274642995816374,0.12528683371464477,0.33276327272727274,0.3774203636363636,0.2898167272727273,0.5312379090909091,0.4687624545454545,0.1621586410555832,0.11600112314511915,0.07544754129039279,11
104,-0.09082197634837393,0.1519673862911833,0.11694295811657789,0.33094633333333334,0.376561,0.2924926666666667,0.5291413333333334,0.4708586666666667,0.10738664835374478,0.03778153172605803,0.10499194689964139,6
108,-0.1853681737930006,0.21847067688798688,0.053119847504543106,0.31475310714285715,0.41001282142857143,0.2752342857142857,0.51322875,0.4867714642857143,0.11557557476818166,0.11475756424390869,0.10502154554673389,28
111,-0.16435865719327686,0.2449999340470854,0.09410262029747507,0.32292032,0.40806828,0.26901128,0.52348116,0.47651871999999995,0.08687289571293647,0.07584539960095275,0.06730191084568214,25
113,-0.1599047528901846,0.1846235456145703,0.12029680818272853,0.31799146153846153,0.3981665384615385,0.28384207692307695,0.5299967692307692,0.4700033076923077,0.09493918005418832,0.08578520320621137,0.07061810853438848,13
114,-0.17430916499785631,0.21457327659193368,0.06382618456042026,0.31776075,0.407128375,0.27511075,0.515932875,0.484067,0.18159639725369764,0.07143597448353338,0.06427915223712265,8
116,-0.14355371892901733,0.20031167707251907,0.09259386304726962,0.32383033333333333,0.39647699999999997,0.27969333333333335,0.5231213333333332,0.4768793333333334,0.12854632551024728,0.041064334049465204,0.055235830708738214,3
117,-0.07096209723710381,0.15537344144878337,0.1376756526690757,0.3349299,0.3721615,0.2929087,0.5343514,0.4656487,0.10428759516995809,0.1465830152735794,0.04209061189069942,10
118,-0.15019763252150742,0.20927765171592375,0.11348381872353963,0.32297275,0.399306125,0.277721,0.528321,0.471678875,0.13232827708729597,0.09846508383038577,0.06729848013135255,8
120,-0.16903825588850044,0.2827786607281758,0.053374168460319414,0.326017,0.41463125,0.2593515,0.51332475,0.486675,0.15472084612762452,0.06892261136032325,0.07646393219057397,4
121,-0.20810690212854258,0.1450516706001854,0.1066700629410977,0.3009621714285714,0.40539794285714287,0.2936396857142857,0.5266170571428571,0.4733827428571429,0.10472286018607882,0.1402788472628162,0.06316127222150598,35
123,-0.1330356981552429,0.1263953079167867,0.13760549218947887,0.31649983333333337,0.3843190952380952,0.2991809285714286,0.5342710952380952,0.46572876190476187,0.13913204649210417,0.13885335445644614,0.09449690738490238,42
124,-0.14342499067034137,0.0575514761098482,0.13883447023761744,0.30586504761904765,0.37732280952380953,0.31681238095238096,0.5345847142857143,0.4654155238095238,0.15148647483913238,0.13743689575400983,0.08565250539326036,21
