narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier
1066,8,46,0,0.0,1.0,1,0.0,1343.0,8.333,1934.0,male,Sansei,1994.0,C
1067,9,60,0,0.0,1.0,1,0.0,810.0,27.417,1915.0,male,Kibei,1994.0,C
1068,9,54,0,0.0,1.0,1,0.0,1312.0,2.333,1940.0,male,Sansei,1994.0,C
1069,9,46,0,0.0,1.0,1,0.0,1277.0,23.417,1919.0,male,Nisei,1994.0,C
107,42,402,0,0.0,1.0,1,0.0,2688.0,20.417,1922.0,male,Nisei,1998.0,A
1070,17,123,0,0.0,1.0,1,0.0,1062.0,0.083,1943.0,male,Sansei,2023.0,A
1071,18,119,0,0.0,1.0,1,0.0,443.0,0.083,1945.0,female,Sansei,2023.0,A
1075,17,97,0,0.0,1.0,1,1.0,1269.0,15.5,1927.0,male,Sansei,2023.0,C
1076,19,95,0,0.0,1.0,1,0.0,1343.0,4.333,1938.0,male,Sansei,2023.0,C
1078,19,101,0,0.0,1.0,1,0.0,2538.0,4.417,1938.0,female,Sansei,2023.0,A
108,42,448,0,0.0,1.0,1,0.0,1312.0,19.333,1923.0,male,Nisei,2001.0,A
1082,25,132,0,0.0,1.0,1,0.0,1215.0,8.583,1934.0,male,Sansei,2023.0,A
1083,25,173,0,0.0,1.0,1,0.0,1018.0,0.083,1943.0,male,,2024.0,A
1084,25,139,0,0.0,1.0,1,0.0,1393.0,1.417,1941.0,female,Sansei,2024.0,A
11,25,228,0,0.0,1.0,1,1.0,1312.0,17.333,1925.0,male,Nisei,1997.0,A
111,50,1217,0,0.0,1.0,1,0.0,3255.0,35.333,1907.0,female,Issei,1999.0,A
113,21,657,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,male,Nisei,2000.0,A
114,13,386,0,0.0,1.0,1,1.0,2645.0,17.417,1925.0,male,Nisei,2000.0,A
116,25,1096,0,0.0,1.0,1,0.0,2579.0,35.417,1907.0,female,Issei,2000.0,A
117,11,282,0,0.0,1.0,1,0.0,4611.0,22.417,1920.0,male,Nisei,2000.0,A
118,10,239,0,0.0,1.0,1,1.0,2579.0,16.417,1926.0,female,Nisei,2000.0,A
12,25,207,0,0.0,1.0,1,0.0,1312.0,9.333,1933.0,female,Nisei,1998.0,A
120,17,1191,0,0.0,1.0,1,0.0,1393.0,32.417,1910.0,female,Kibei,2000.0,A
121,48,1507,0,0.0,1.0,1,1.0,1306.0,18.417,1924.0,male,Nisei,2000.0,A
123,47,540,0,0.0,1.0,1,0.0,1269.0,22.5,1920.0,male,Nisei,2000.0,A
124,32,470,0,0.0,1.0,1,0.0,2498.0,27.333,1915.0,male,Nisei,2001.0,A
125,44,1687,0,0.0,1.0,1,1.0,1400.0,18.25,1924.0,male,Nisei,2001.0,A
126,25,297,0,0.0,1.0,1,0.0,1275.0,20.5,1922.0,male,Nisei,2002.0,A
129,50,5297,0,0.0,1.0,1,0.0,2705.0,19.333,1923.0,female,Nisei,2002.0,A
130,46,4565,0,0.0,1.0,1,1.0,3255.0,10.333,1932.0,male,Nisei,2002.0,A
131,50,5307,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,male,Nisei,2002.0,A
132,24,274,0,0.0,1.0,1,0.0,1317.0,26.417,1916.0,female,Nisei,2002.0,A
133,22,250,0,0.0,1.0,1,0.0,1312.0,31.333,1911.0,female,Nisei,2002.0,A
