narrator_id,n_segments_total,transcript_word_count,n_candidate_segments,technical_gap_ratio,reflection_sparsity,treatment_observed_flag,adolescent_exposure_flag,total_days_incarcerated,age_at_first_exposure,birth_year,gender,generation,interview_year,observability_tier,how_multimodal_score_mean,how_multimodal_score_max,composure_score_mean,composure_score_max,r_how,p_hat_r_how,ipo_weight,ipo_weight_stabilized
111,50,1217,0,0.0,1.0,1,0.0,3255.0,35.333,1907.0,female,Issei,1999.0,A,0.4458,0.8,0.438,0.8,1,0.9371485580390312,1.0670666794734065,0.759350343084376
113,21,657,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,male,Nisei,2000.0,A,0.539,0.8257,0.2452,0.45,1,0.8393870437030942,1.1913455270745368,0.8477901635561584
114,13,386,0,0.0,1.0,1,1.0,2645.0,17.417,1925.0,male,Nisei,2000.0,A,0.3072,0.35,0.2654,0.35,1,0.8838451574557226,1.1314199003801142,0.8051456446471692
116,25,1096,0,0.0,1.0,1,0.0,2579.0,35.417,1907.0,female,Issei,2000.0,A,0.4958,0.8,0.49,0.8,1,0.916470693515881,1.091142365026069,0.7764831806437194
117,11,282,0,0.0,1.0,1,0.0,4611.0,22.417,1920.0,male,Nisei,2000.0,A,0.3472,0.3985,0.3164,0.38,1,0.9506780987934869,1.0518807588700192,0.7485436763201911
118,10,239,0,0.0,1.0,1,1.0,2579.0,16.417,1926.0,female,Nisei,2000.0,A,0.6333,0.8443,0.22,0.35,1,0.8034243929724837,1.244672191617474,0.8857387021012926
12,25,207,0,0.0,1.0,1,0.0,1312.0,9.333,1933.0,female,Nisei,1998.0,A,0.7162,0.9696,0.2988,0.6,1,0.6846972124238407,1.4604995928930127,1.0393266777716301
120,17,1191,0,0.0,1.0,1,0.0,1393.0,32.417,1910.0,female,Kibei,2000.0,A,0.4019,0.65,0.3441,0.65,1,0.8793012355356571,1.137266683573821,0.8093063563529009
121,48,1507,0,0.0,1.0,1,1.0,1306.0,18.417,1924.0,male,Nisei,2000.0,A,0.3218,0.8318,0.2344,0.4,1,0.828088256937559,1.2076007498261188,0.8593577714767976
123,47,540,0,0.0,1.0,1,0.0,1269.0,22.5,1920.0,male,Nisei,2000.0,A,0.272,0.3684,0.183,0.35,1,0.8481783785665697,1.178997278485229,0.83900285252569
124,32,470,0,0.0,1.0,1,0.0,2498.0,27.333,1915.0,male,Nisei,2001.0,A,0.2369,0.351,0.1812,0.3,1,0.9100003240276601,1.0989007076107418,0.782004204040631
125,44,1687,0,0.0,1.0,1,1.0,1400.0,18.25,1924.0,male,Nisei,2001.0,A,0.3349,0.4097,0.3047,0.38,1,0.8243401804210062,1.213091419963638,0.8632650645568758
126,25,297,0,0.0,1.0,1,0.0,1275.0,20.5,1922.0,male,Nisei,2002.0,A,0.5991,0.7894,0.3252,0.55,1,0.8217335001466466,1.2169395550035869,0.8660034901108086
129,50,5297,0,0.0,1.0,1,0.0,2705.0,19.333,1923.0,female,Nisei,2002.0,A,0.607,0.9637,0.473,0.72,1,0.8112792553354148,1.232621188602389,0.8771629181788374
130,46,4565,0,0.0,1.0,1,1.0,3255.0,10.333,1932.0,male,Nisei,2002.0,A,0.6431,0.9637,0.4678,0.75,1,0.8654522141062244,1.1554652974488333,0.82225692819202
131,50,5307,0,0.0,1.0,1,0.0,1312.0,20.333,1922.0,male,Nisei,2002.0,A,0.7159,0.9958,0.4654,0.75,1,0.8232434982246888,1.214707437297086,0.8644150614035486
