track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path,estimate_reference,std_error_reference,p_value_reference,estimate_delta_vs_reference,std_error_ratio_vs_reference,same_sign_as_reference,aggregation_variant,analysis_rows,analysis_narrators
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,5.605563124429543e-05,4.7593543757913726e-05,-3.722600041784657e-05,0.0001493372629064,0.238876722284957,-0.2099088985058486,-0.2048133452602019,-0.0422139596661842,0.1048482744215542,4697.656804443317,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,8.182497072158581e-06,1.3864496889825272e-05,0.5550724789966297,4.7873134172136855e-05,3.432763852602626,1.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Distrust_composed,joint_continuous,Joint continuous treatments,H3,unweighted,,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,-0.2080599751753858,0.179454706484231,-0.5597847367406852,0.1436647863899135,0.246292748874082,-0.2099088985058486,-0.4976029684951748,-0.0422139596661842,0.1048482744215542,4697.656804443317,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0499472426934639,0.0365381210290995,0.1716284688956186,-0.2580072178688497,4.911437737625058,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,-0.0006139457025672,0.0019213005988976,-0.0043796256798819,0.0031517342747474,0.7493118122991014,0.0600085006747677,0.6312847517200249,-0.0642204961359641,0.2333614408216645,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0045917883270428,0.0186738858950087,0.8057646273075423,0.0039778426244756,0.10288702681915499,1.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-2.859718488320363e-06,1.522408952652774e-05,-3.2698385657728176e-05,2.697894868108745e-05,0.8510007647109847,0.0600085006747677,-0.5156417229970138,-0.0642204961359641,0.2333614408216645,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,4.462950457171904e-06,1.1614279268799605e-05,0.7007827204959143,-7.322668945492267e-06,1.3108079437546734,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Injury_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,0.1177678519936361,0.0832147067558931,-0.0453299762319762,0.2808656802192485,0.1570014144848814,0.0600085006747677,-0.3083045171309035,-0.0642204961359641,0.2333614408216645,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.0444382620060267,0.0316267833781405,0.1599965390637986,0.16220611399966278,2.6311467012294605,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,0.012772669327158,0.0133525146517524,-0.0133977784933202,0.0389431171476362,0.3387822802770837,-0.1108386745050904,0.6312847517200249,-0.0642204961359641,0.1176417314321063,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.051829075330831,0.0285360283690474,0.0693292706226815,0.064601744657989,0.46791776623812414,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-2.211677336129637e-05,4.0452149904162005e-05,-0.0001014015302706,5.716798354807656e-05,0.5845579651314037,-0.1108386745050904,-0.5156417229970138,-0.0642204961359641,0.1176417314321063,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,1.902454963531123e-05,2.416290569102073e-05,0.4310797726377837,-4.11413229966076e-05,1.6741426060854339,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Rupture_composed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,severity_index_v2,0.0752376072623002,0.1905041781957905,-0.2981437209058498,0.4486189354304503,0.6928876061150275,-0.1108386745050904,-0.3083045171309035,-0.0642204961359641,0.1176417314321063,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,-0.1543894330774073,0.0679081771576081,0.0229958956639596,0.2296270403397075,2.805320156859009,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,age_at_first_exposure,-0.0028710397258435,0.0108652392962383,-0.02416651742988,0.0184244379781929,0.7915943597731318,-0.1517631910799606,0.6312847517200249,-0.0642204961359641,0.2039557564172245,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,0.0523939834662066,0.0299276679538304,0.0799998155205095,-0.0552650231920501,0.36304998147534157,0.0,interview_equal_mean,31,31
track1_per_cell,main,share_joint_Rupture_discomposed,joint_continuous,Joint continuous treatments,H3,ipw,ipw_weight_v1,31,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,29,total_days_incarcerated,-3.816269741426444e-05,3.770825942758036e-05,-0.000112069527812,3.574413298348602e-05,0.3115134694714573,-0.1517631910799606,-0.5156417229970138,-0.0642204961359641,0.2039557564172245,5371.880332767508,0.9113977255200748,1.0,0,0,robustness/causal_robustness_v2/r7/track1_per_cell/track1_per_cell_estimates_v1.csv,-2.394460016101076e-06,2.139989320708673e-05,0.9109096635992462,-3.576823739816336e-05,1.7620769908839076,1.0,interview_equal_mean,31,31
