track,sample,outcome,spec_id,spec_label,hypothesis_family,weight_status,weight_column,sample_n,folds,nuisance_learner,engine_impl,x_block_id,x_exclude_columns,x_feature_count,treatment,estimate,std_error,ci_low,ci_high,p_value,outcome_oof_r2,treatment_oof_r2,mean_treatment_oof_r2,final_model_r2,condition_number,p_value_adj_bh,p_value_adj_holm,significant_bh_0_05,significant_holm_0_05,source_path
track1_ilr,main,ilr_joint6_4,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0004541280771522,0.0003441698549088,-0.0011286885973378,0.0002204324430333,0.1870059380973382,-0.205330888691775,-0.2171682621380317,0.1532454082284388,0.0028621899566846,3362.755842718917,0.6930220058901359,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_4,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.3484999462681035,1.029798647351994,-1.669868313869869,2.3668682064060755,0.7350500058147265,-0.205330888691775,-0.3190036489707968,0.1532454082284388,0.0028621899566846,3362.755842718917,0.9613334523190872,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_5,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.3801678237225717,0.8664548285913629,-2.078388081992469,1.3180524345473257,0.6608336876802878,-0.2884051631676394,0.995908135794145,0.1532454082284388,0.0118924078006251,3362.755842718917,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_5,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0002972752675101,0.0003606241353694,-0.0010040855847901,0.0004095350497697,0.4097489676006577,-0.2884051631676394,-0.2171682621380317,0.1532454082284388,0.0118924078006251,3362.755842718917,0.9344216013749764,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_joint6_5,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,-2.221896604438061,1.1554205660014731,-4.486479300797834,0.0426860919217104,0.0544775655972543,-0.2884051631676394,-0.3190036489707968,0.1532454082284388,0.0118924078006251,3362.755842718917,0.3753551873450701,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_what3_1,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.2811369097308185,0.4881579014423815,-1.2379088153265396,0.6756349958649026,0.5646733951946983,-0.2714034641293974,0.995908135794145,0.1532454082284388,0.0012714270701235,3362.755842718917,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_what3_1,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0001384098352311,0.0002789290146384,-0.0006851006581658,0.0004082809877035,0.6197400121626115,-0.2714034641293974,-0.2171682621380317,0.1532454082284388,0.0012714270701235,3362.755842718917,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_what3_1,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,severity_index_v2,0.0450626491856613,0.7222374513225281,-1.3704967436924942,1.460622042063817,0.9502497723899876,-0.2714034641293974,-0.3190036489707968,0.1532454082284388,0.0012714270701235,3362.755842718917,0.9842681922784864,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_what3_2,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,age_at_first_exposure,-0.0016041202208994,0.3997856578496611,-0.785169611141888,0.781961370700089,0.9967985361694433,-0.1660664439987562,0.995908135794145,0.1532454082284388,0.0022041865830686,3362.755842718917,0.9967985361694433,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
track1_ilr,main,ilr_what3_2,joint_continuous,Joint continuous treatments,H3,unweighted,,633,5,lightgbm_regressor,crossfit_plr_residual_ols_hc3_v1,primary,,30,total_days_incarcerated,-0.0001040512242428,0.0001989852612527,-0.0004940551697526,0.0002859527212668,0.601037440412306,-0.1660664439987562,-0.2171682621380317,0.1532454082284388,0.0022041865830686,3362.755842718917,0.9555383670135684,1.0,0,0,models/causal_estimates_v1/track1_ilr_v1/track1_ilr_estimates_v1.csv
